array_size,thread_count,cutoff,time_taken
1048576,8,16384,488
1048576,8,32768,230
1048576,8,65536,119
1048576,8,131072,125
1048576,8,262144,94
1048576,8,524288,122
1048576,8,1048576,149
2097152,8,16384,233
2097152,8,32768,294
2097152,8,65536,228
2097152,8,131072,257
2097152,8,262144,257
2097152,8,524288,218
2097152,8,1048576,249
2097152,8,2097152,373
4194304,8,16384,533
4194304,8,32768,497
4194304,8,65536,488
4194304,8,131072,675
4194304,8,262144,1357
4194304,8,524288,407
4194304,8,1048576,412
4194304,8,2097152,454
4194304,8,4194304,627
8388608,8,16384,1276
8388608,8,32768,2888
8388608,8,65536,1021
8388608,8,131072,1823
8388608,8,262144,1058
8388608,8,524288,1058
8388608,8,1048576,916
8388608,8,2097152,800
8388608,8,4194304,884
8388608,8,8388608,1163
16777216,8,16384,2470
16777216,8,32768,2294
16777216,8,65536,2187
16777216,8,131072,2020
16777216,8,262144,1998
16777216,8,524288,2062
16777216,8,1048576,1783
16777216,8,2097152,1862
16777216,8,4194304,1533
16777216,8,8388608,1944
16777216,8,16777216,2469
